Date,Price,Open,High,Low,Vol.,Change %
2018-08-02,5.12,5.19,5.24,5.08,2.03M,-2.66%
2018-08-01,5.26,5.19,5.28,5.18,1.46M,1.35%
2018-07-31,5.19,5.17,5.26,5.17,4.87M,0.00%
2018-07-30,5.19,5.20,5.21,5.16,1.31M,0.39%
2018-07-27,5.17,5.15,5.19,5.15,1.03M,-0.39%
2018-07-26,5.19,5.20,5.26,5.15,1.62M,0.00%
2018-07-25,5.19,5.19,5.23,5.17,591.50K,-1.52%
2018-07-24,5.27,5.14,5.28,5.12,999.20K,3.33%
2018-07-23,5.10,5.09,5.16,5.09,3.93M,-0.39%
2018-07-20,5.12,5.12,5.16,5.09,2.09M,-0.19%
2018-07-19,5.13,5.23,5.23,5.13,1.35M,-1.16%
2018-07-18,5.19,5.17,5.21,5.16,2.79M,0.39%
2018-07-17,5.17,5.27,5.27,5.13,1.98M,-1.71%
2018-07-16,5.26,5.23,5.26,5.21,1.03M,0.57%
2018-07-13,5.23,5.31,5.31,5.20,1.46M,0.00%
2018-07-12,5.23,5.32,5.32,5.22,819.90K,-1.69%
2018-07-11,5.32,5.20,5.32,5.18,1.16M,0.57%
2018-07-10,5.29,5.24,5.29,5.20,1.16M,0.95%
2018-07-09,5.24,5.18,5.26,5.18,1.05M,0.77%
2018-07-06,5.20,5.21,5.29,5.14,6.33M,-1.70%
2018-07-05,5.29,5.28,5.29,5.27,2.98M,0.00%
2018-07-04,5.29,5.27,5.29,5.26,487.70K,0.19%
2018-07-03,5.28,5.27,5.29,5.26,1.17M,0.19%
